"AOU","rmse_occ","AUC","rmse_pres","AUC_pres","rmse_gam","AUC_gam","rmse_gam_pres","AUC_gam_pres","rmse_rf","AUC_RF","rmse_rf_pres","AUC_RF_pres","rmse_me_pres","AUC_me_pres"
6240,0.322455074929238,0.57923393478949,0.363476322772589,0.651458794977314,0.313057832085662,0.629882874327319,0.358483513239129,0.698716934115794,0.317016625159165,0.502361506805951,0.359972920812404,0.720447936705059,0.520059610533077,0.707949813719045
6270,0.287383046018631,0.536389819156062,0.354338714860473,0.650845746699518,0.277389100550723,0.523194909578031,0.344917458675934,0.722698525624019,0.274519128594005,0.497655726724715,0.343827569390809,0.746074933466895,0.503619849929469,0.719336477272862
6280,0.262394276563814,0.647090268146093,0.39660987313474,0.543381405237418,0.252284351719902,0.585327092001849,0.3884574118481,0.642579771856706,0.260475383593987,0.518984049930652,0.393292327093465,0.65884808113903,0.553427505821764,0.652211719145246
6290,0.244708041712188,0.783061977456589,0.348811330852132,0.781147768656256,0.228410367982806,0.683613715600988,0.329917315827033,0.82114529967286,0.249005633345419,0.754121111600041,0.347485797875352,0.764803612945703,0.430657005051135,0.804952883566858
6291,0.183360232523938,0.93574297188755,1.54379484995821e-06,1,0.0347230690096497,0.995983935742972,3.9081515738577e-10,1,0.156253655006133,0.990461847389558,0.133184834557382,0.99526678141136,0.15442065281336,0.999010327022375
6292,0.14383171657149,0.960800438596491,0.102195010925871,0.998172514619883,0.0385317051079886,0.98656798245614,0.000291091875705763,1,0.150161803585227,0.925986842105263,0.14576993780603,0.982529239766082,0.136236798061715,0.997002923976608
6310,0.315908482564033,0.810173806179775,0.379194816071821,0.566671902720284,0.303177461715161,0.750219452247191,0.370699525880396,0.669777498521585,0.310513652835398,0.736306179775281,0.37718243932079,0.671290564015376,0.541870621046156,0.691879804849202
6330,0.194384171377165,0.577508488467393,0.353652092902454,0.593817246627828,0.169710056923395,0.533836787261445,0.341988203105476,0.710452422190731,0.191502913976711,0.535066151504508,0.354871981794587,0.696629139768016,0.536989944284994,0.720345877289666
6360,0.234774574219212,0.498537560696944,0.348135062313876,0.629856553716633,0.225257476272429,0.525844044558697,0.336985295290001,0.722274171125902,0.232510090292535,0.615778349043131,0.344892267132335,0.712135074053076,0.530208026793464,0.709134118780046
6370,0.17331880183738,0.532460732984293,0.301782163197895,0.668379548833301,0.160102691777624,0.541560708052855,0.29392994708896,0.739822894447676,0.173278714641836,0.571740214410371,0.303755200943017,0.702908667830134,0.505861018495015,0.749182341154418
